company_brand,founded,headquarter,sector,about_company,founders,investor,amount,series,year
Unbox Robotics,1970,Bangalore,Artificial Intelligence,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First",1200000.0,early traction,2021-01-01
upGrad,1970,Mumbai,Education Technology,UpGrad is an online higher education platform.,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","Unilazer Ventures, IIFL Asset Management",120000000.0,others,2021-01-01
Lead School,1970,Mumbai,Education Technology,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital",30000000.0,early traction,2021-01-01
Bizongo,1970,Mumbai,Business-to-Business E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital",51000000.0,early traction,2021-01-01
FypMoney,1970,Gurgaon,Fintech,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2000000.0,validation,2021-01-01
Urban Company,1970,Delhi,Home Services,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia","Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital,188000000.0,others,2021-01-01
Comofi Medtech,1970,Bangalore,Healthcare,Comofi Medtech is a healthcare robotics startup.,Gururaj KB,"CIIE.CO, KIIT-TBI",200000.0,others,2021-01-01
Qube Health,1970,Mumbai,Healthcare,India's Most Respected Workplace Healthcare Management Company,Gagan Kapur,Inflection Point Ventures,0.0,early traction,2021-01-01
Vitra.ai,1970,Bangalore,Technology Startup,Vitra.ai is an AI-based video translation platform,Akash Nidhi PS,Inflexor Ventures,0.0,others,2021-01-01
Taikee,1970,Mumbai,Business-to-Business E-commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.","Nidhi Ramachandran, Sachin Chhabra",,1000000.0,others,2021-01-01
Fitterfly,1970,Mumbai,Healthcare,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures",3000000.0,early traction,2021-01-01
FreeStand,1970,Delhi,Business-to-Business Services,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"Konark Sharma, Sneh Soni","SucSEED Indovation, IIM Calcutta Innovation Park",100000.0,others,2021-01-01
MyDentalPlan,1970,Bangalore,Healthcare,My Dental Plan provides dental care packages and services.,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,700000.0,validation,2021-01-01
Freyr Energy,1970,Hyderabad,Renewable Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Radhika Choudary, Saurabh Marda","Impact Partners, C4D Partners",2000000.0,others,2021-01-01
DealShare,1970,Jaipur,Business-to-Business E-commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital",9000000.0,others,2021-01-01
Tessolve,1970,Bangalore,Electronics,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.","P Raja Manickam, Srinivas Chinamilli, Veerappan V",Novo Tellus Capital,40000000.0,others,2021-01-01
Smart Joules,1970,Delhi,Renewable Energy,Smart Joules is an energy management company.,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm",49000000.0,others,2021-01-01
ORAI,1970,Bangalore,Technology Startup,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,400000.0,early traction,2021-01-01
ixamBee,1970,Delhi,Education Technology,ixamBee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha",300000.0,validation,2021-01-01
CoinSwitch Kuber,1970,Bangalore,Fintech,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",25000000.0,early traction,2021-01-01
Razorpay,1970,Bangalore,Fintech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC",160000000.0,early traction,2021-01-01
Uable,1970,Bangalore,Education Technology,Uable offers role based programmes to empower children to explore different domains.,Saurabh Saxena,"Chiratae Ventures, JAFCO Asia",0.0,validation,2021-01-01
ZFW Hospitality,1970,Delhi,Food and Beverages,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO",150000.0,validation,2021-01-01
Optimized Electrotech,1970,Ahmedabad,Aerospace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection","Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,1800000.0,early traction,2021-01-01
